# freq/cm-1  Intensity 
1.77718e+02   1.71796e-05
1.79218e+02   1.69532e-05
1.80718e+02   1.67401e-05
1.82218e+02   1.65394e-05
1.83718e+02   1.63506e-05
1.85218e+02   1.61729e-05
1.86718e+02   1.60059e-05
1.88218e+02   1.58490e-05
1.89718e+02   1.57017e-05
1.91218e+02   1.55636e-05
1.92718e+02   1.54342e-05
1.94218e+02   1.53133e-05
1.95718e+02   1.52003e-05
1.97218e+02   1.50950e-05
1.98718e+02   1.49971e-05
2.00218e+02   1.49063e-05
2.01718e+02   1.48224e-05
2.03218e+02   1.47451e-05
2.04718e+02   1.46742e-05
2.06218e+02   1.46095e-05
2.07718e+02   1.45508e-05
2.09218e+02   1.44979e-05
2.10718e+02   1.44508e-05
2.12218e+02   1.44092e-05
2.13718e+02   1.43731e-05
2.15218e+02   1.43423e-05
2.16718e+02   1.43168e-05
2.18218e+02   1.42964e-05
2.19718e+02   1.42811e-05
2.21218e+02   1.42709e-05
2.22718e+02   1.42656e-05
2.24218e+02   1.42653e-05
2.25718e+02   1.42700e-05
2.27218e+02   1.42795e-05
2.28718e+02   1.42940e-05
2.30218e+02   1.43134e-05
2.31718e+02   1.43378e-05
2.33218e+02   1.43672e-05
2.34718e+02   1.44017e-05
2.36218e+02   1.44412e-05
2.37718e+02   1.44859e-05
2.39218e+02   1.45359e-05
2.40718e+02   1.45912e-05
2.42218e+02   1.46520e-05
2.43718e+02   1.47184e-05
2.45218e+02   1.47906e-05
2.46718e+02   1.48686e-05
2.48218e+02   1.49528e-05
2.49718e+02   1.50432e-05
2.51218e+02   1.51401e-05
2.52718e+02   1.52437e-05
2.54218e+02   1.53543e-05
2.55718e+02   1.54721e-05
2.57218e+02   1.55976e-05
2.58718e+02   1.57309e-05
2.60218e+02   1.58725e-05
2.61718e+02   1.60227e-05
2.63218e+02   1.61820e-05
2.64718e+02   1.63509e-05
2.66218e+02   1.65299e-05
2.67718e+02   1.67195e-05
2.69218e+02   1.69203e-05
2.70718e+02   1.71330e-05
2.72218e+02   1.73583e-05
2.73718e+02   1.75970e-05
2.75218e+02   1.78499e-05
2.76718e+02   1.81180e-05
2.78218e+02   1.84023e-05
2.79718e+02   1.87039e-05
2.81218e+02   1.90240e-05
2.82718e+02   1.93640e-05
2.84218e+02   1.97253e-05
2.85718e+02   2.01096e-05
2.87218e+02   2.05187e-05
2.88718e+02   2.09545e-05
2.90218e+02   2.14192e-05
2.91718e+02   2.19152e-05
2.93218e+02   2.24453e-05
2.94718e+02   2.30122e-05
2.96218e+02   2.36195e-05
2.97718e+02   2.42707e-05
2.99218e+02   2.49699e-05
3.00718e+02   2.57219e-05
3.02218e+02   2.65316e-05
3.03718e+02   2.74050e-05
3.05218e+02   2.83485e-05
3.06718e+02   2.93695e-05
3.08218e+02   3.04763e-05
3.09718e+02   3.16785e-05
3.11218e+02   3.29866e-05
3.12718e+02   3.44129e-05
3.14218e+02   3.59714e-05
3.15718e+02   3.76780e-05
3.17218e+02   3.95508e-05
3.18718e+02   4.16109e-05
3.20218e+02   4.38823e-05
3.21718e+02   4.63928e-05
3.23218e+02   4.91741e-05
3.24718e+02   5.22631e-05
3.26218e+02   5.57022e-05
3.27718e+02   5.95400e-05
3.29218e+02   6.38323e-05
3.30718e+02   6.86427e-05
3.32218e+02   7.40431e-05
3.33718e+02   8.01135e-05
3.35218e+02   8.69418e-05
3.36718e+02   9.46209e-05
3.38218e+02   1.03245e-04
3.39718e+02   1.12901e-04
3.41218e+02   1.23655e-04
3.42718e+02   1.35534e-04
3.44218e+02   1.48496e-04
3.45718e+02   1.62390e-04
3.47218e+02   1.76911e-04
3.48718e+02   1.91562e-04
3.50218e+02   2.05620e-04
3.51718e+02   2.18169e-04
3.53218e+02   2.28178e-04
3.54718e+02   2.34678e-04
3.56218e+02   2.36963e-04
3.57718e+02   2.34772e-04
3.59218e+02   2.28361e-04
3.60718e+02   2.18432e-04
3.62218e+02   2.05954e-04
3.63718e+02   1.91956e-04
3.65218e+02   1.77358e-04
3.66718e+02   1.62882e-04
3.68218e+02   1.49031e-04
3.69718e+02   1.36110e-04
